"Time","overflow 107082","overflow 110600","overflow 11798","overflow 135356","overflow 135591","overflow 137975","overflow 138512","overflow 143817","overflow 150314","overflow 151317","overflow 1524","overflow 1536","overflow 1618","overflow 16324","overflow 1660","overflow 17950","overflow 17963","overflow 18452","overflow 18495","overflow 18498","overflow 21086","overflow 23355","overflow 33314","overflow 3388","overflow 34683","overflow 35492","overflow 35495","overflow 35742","overflow 37119","overflow 42046","overflow 44184","overflow 4633","overflow 46428","overflow 5052","overflow 5066","overflow 5969","overflow 6370","overflow 6392","overflow 7124","overflow 729","overflow 782","overflow 8072","overflow 87070"
1721131200000,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
1721138400000,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
1721145600000,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
1721152800000,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
1721160000000,0,0,,1,0,0.5,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,,1,0,0,0,0,0,0,0,0,0
1721167200000,0.5,0,,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,,0.5,0,0,0,0,0,0,0,0,0
1721174400000,0,0,,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
1721181600000,0.5,0,,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,,1,0,0,0,0,0,0,0,0,0
1721188800000,0,0,,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,,0,0,,0.5,0,0,0,0,0,0,0,0,0
1721196000000,0,0,,1,0,1,0,0,0,0,0,0,1,0,0,1,0.5,1,1,0,0,0,0,1,0,0,0,0,0,,0,0,,0.5,0,0,0,0,0,0,0,0,0
1721203200000,0,0,,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
1721210400000,0,0,,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0.5,1,0,0,0,0,1,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
1721217600000,0,0,,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
1721224800000,0,0,,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0.5,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
1721232000000,0,0,,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
1721239200000,0,0,,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
1721246400000,0,0,,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
1721253600000,0,0,,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
1721260800000,0,0,,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
1721268000000,0,0,,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
1721275200000,0,0,,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
1721282400000,0,0,,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
1721289600000,0,0,,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
1721296800000,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
1721304000000,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
